Timestamp,Room Intensity,Room Humidity,Room Temperature, Nutrient Temperature,Water level,Nutrient Level,,,,,,,,
2024-01-18 17:00:00 +0800,47.68939394,62.50606061,23.11439394,24.51183712,1,1,,,,,,,,
2024-01-18 18:00:00 +0800,4.90625,64.66651786,24.72642857,24.79860491,1,1,,,,,,,,
2024-01-18 19:00:00 +0800,5.136792453,66.66603774,25.3,24.99121462,1,1,,,,,,,,
2024-01-18 20:00:00 +0800,5.220994475,68.6519337,25.50320442,25.18667127,1,1,,,,,,,,
2024-01-18 21:00:00 +0800,5.265700483,69.51207729,25.8,25.38158213,1,1,,,,,,,,
2024-01-18 22:00:00 +0800,5.117021277,70.79680851,25.8,25.54621011,1,1,,,,,,,,
2024-01-18 23:00:00 +0800,5.236842105,72.04052632,25.8,25.69809211,1,1,,,,,,,,
2024-01-18 17:00:00 +0800,47.68939394,62.50606061,23.11439394,24.51183712,1,1,,,,,,,,
2024-01-18 18:00:00 +0800,4.90625,64.66651786,24.72642857,24.79860491,1,1,,,,,,,,
2024-01-18 19:00:00 +0800,5.136792453,66.66603774,25.3,24.99121462,1,1,,,,,,,,
2024-01-18 20:00:00 +0800,5.220994475,68.6519337,25.50320442,25.18667127,1,1,,,,,,,,
2024-01-18 21:00:00 +0800,5.265700483,69.51207729,25.8,25.38158213,1,1,,,,,,,,
2024-01-18 22:00:00 +0800,5.117021277,70.79680851,25.8,25.54621011,1,1,,,,,,,,
2024-01-18 23:00:00 +0800,5.236842105,72.04052632,25.8,25.69809211,1,1,,,,,,,,
2024-01-19 00:00:00 +0800,5.204651163,72.92790698,26.05781395,25.8427907,1,1,,,,,,,,
2024-01-19 01:00:00 +0800,5.204545455,73,26.2,25.95798295,1,1,,,,,,,,
2024-01-19 02:00:00 +0800,5.034313725,73.7254902,26.2,26.06639093,1,1,,,,,,,,
2024-01-19 03:00:00 +0800,4.98,75.255,26.2163,26.2230625,1,1,,,,,,,,
2024-01-19 04:00:00 +0800,5.182648402,76.37625571,26.2,26.28855594,1,1,,,,,,,,
2024-01-19 05:00:00 +0800,5.099547511,77,26.2,26.35933258,1,1,,,,,,,,
2024-01-19 06:00:00 +0800,5.023041475,77.55115207,26.2,26.40590438,1,1,,,,,,,,
2024-01-19 07:00:00 +0800,4.957746479,78.70328638,26.2,26.48996479,1,1,,,,,,,,
2024-01-19 08:00:00 +0800,5.079439252,79.28831776,26.2,26.54129673,1,1,,,,,,,,
2024-01-19 09:00:00 +0800,18.87906977,79.07302326,26.2,26.58880814,1,1,,,,,,,,
2024-01-19 10:00:00 +0800,80.75576037,72.47327189,25.99557604,26.58211406,1,1,,,,,,,,
2024-01-19 11:00:00 +0800,80.59090909,64.93727273,25.64140909,26.54122159,1,1,,,,,,,,
2024-01-19 12:00:00 +0800,80.52968037,59.91004566,25.33086758,26.45784817,1,1,,,,,,,,
2024-01-19 13:00:00 +0800,80.2739726,56.35616438,25.07643836,26.36946347,1,1,,,,,,,,
2024-01-19 14:00:00 +0800,80.5158371,54.8081448,24.80113122,26.25002828,1,1,,,,,,,,
2024-01-19 15:00:00 +0800,80.35616438,54.38584475,24.87826484,26.17060502,1,1,,,,,,,,
2024-01-19 16:00:00 +0800,80.46606335,55.35746606,25.0018552,26.09428733,1,1,,,,,,,,
2024-01-19 17:00:00 +0800,80.41363636,55.16681818,24.99422727,26.02599432,1,1,,,,,,,,
2024-01-19 18:00:00 +0800,13.63761468,57.11972477,25.50302752,26.03489106,1,1,,,,,,,,
2024-01-19 19:00:00 +0800,5.296296296,60.7412037,25.8,26.07766204,1,1,,,,,,,,
2024-01-19 20:00:00 +0800,5.574879227,64.01062802,25.8,26.16153382,1,1,,,,,,,,
2024-01-19 21:00:00 +0800,5.286432161,66.27336683,25.81180905,26.2321294,1,1,,,,,,,,
2024-01-19 22:00:00 +0800,5.433862434,68.04338624,26.0473545,26.31623677,1,1,,,,,,,,
2024-01-19 23:00:00 +0800,5.419689119,69,26.2,26.37882124,1,1,,,,,,,,
2024-01-20 00:00:00 +0800,5.685185185,69.73194444,26.2,26.44939236,1,1,,,,,,,,
2024-01-20 01:00:00 +0800,5.488789238,70.78251121,26.2,26.51412556,1,1,,,,,,,,
2024-01-20 02:00:00 +0800,5.643835616,71.84474886,26.20561644,26.56127283,1,1,,,,,,,,
2024-01-20 03:00:00 +0800,5.409090909,72.63863636,26.21895455,26.62400568,1,1,,,,,,,,
2024-01-20 04:00:00 +0800,5.295964126,73,26.2029148,26.67160874,1,1,,,,,,,,
2024-01-20 05:00:00 +0800,5.31981982,73,26.31234234,26.71644144,1,1,,,,,,,,
2024-01-20 06:00:00 +0800,0.650224215,73.93183857,26.29026906,26.7267657,1,1,,,,,,,,
2024-01-20 07:00:00 +0800,0,74.99594595,26.2,26.76320383,1,1,,,,,,,,
2024-01-20 08:00:00 +0800,8.712962963,75.93240741,26.20837963,26.81038773,1,1,,,,,,,,
2024-01-20 09:00:00 +0800,51.67420814,74.34298643,26.38932127,26.84473982,1,1,,,,,,,,
2024-01-20 10:00:00 +0800,80.66666667,65.53963964,25.85108108,26.77730856,1,1,,,,,,,,
2024-01-20 11:00:00 +0800,80.66216216,59.36216216,25.43788288,26.67916667,1,1,,,,,,,,
2024-01-20 12:00:00 +0800,80.64705882,56.94027149,25.3,26.56776018,1,1,,,,,,,,
2024-01-20 13:00:00 +0800,80.66367713,55.23183857,25.3,26.45319507,1,1,,,,,,,,
2024-01-20 14:00:00 +0800,80.66820276,54.29493088,25.25013825,26.3765841,1,1,,,,,,,,
2024-01-20 15:00:00 +0800,80.61971831,53.82910798,25.17004695,26.31555164,1,1,,,,,,,,
2024-01-20 16:00:00 +0800,80.59817352,53.00684932,25.24465753,26.23741438,1,1,,,,,,,,
2024-01-20 17:00:00 +0800,17.2735426,54.68340807,25.5629148,26.23354821,1,1,,,,,,,,
2024-01-20 18:00:00 +0800,5.972972973,58.01531532,26.11720721,26.30205518,1,1,,,,,,,,
